iter	Passed	Remaining
410	3866	5540
411	3874	5529
412	3888	5526
413	3898	5517
414	3908	5509
415	3923	5507
416	3934	5500
417	3945	5493
418	3955	5485
419	3966	5477
420	3977	5469
421	3989	5464
422	4001	5457
423	4011	5450
424	4018	5436
425	4029	5429
426	4038	5419
427	4046	5407
428	4051	5393
429	4062	5384
430	4071	5374
431	4079	5364
432	4088	5353
433	4097	5344
434	4103	5330
435	4114	5321
436	4121	5310
437	4134	5304
438	4141	5292
439	4151	5284
440	4161	5275
441	4169	5264
442	4177	5252
443	4184	5240
444	4198	5236
445	4209	5229
446	4221	5222
447	4237	5221
448	4247	5212
449	4260	5207
450	4272	5200
451	4284	5194
452	4292	5183
453	4301	5172
454	4311	5164
455	4326	5161
456	4338	5154
457	4355	5154
458	4367	5148
459	4380	5142
460	4393	5136
461	4405	5130
462	4415	5121
463	4427	5115
464	4451	5121
465	4468	5120
466	4482	5115
467	4493	5107
468	4513	5110
469	4523	5100
470	4538	5097
471	4553	5093
472	4561	5082
473	4571	5072
474	4581	5063
475	4590	5053
476	4606	5050
477	4618	5043
478	4631	5038
479	4639	5026
480	4651	5019
481	4660	5008
482	4671	5000
483	4685	4995
484	4698	4989
485	4706	4977
486	4716	4968
487	4729	4962
488	4739	4952
489	4749	4943
490	4757	4932
491	4766	4921
492	4774	4910
493	4782	4898
494	4789	4886
495	4802	4880
496	4815	4873
497	4821	4860
498	4831	4850
499	4837	4837
500	4845	4825
501	4851	4812
502	4862	4804
503	4869	4792
504	4879	4782
505	4885	4770
506	4896	4761
507	4903	4749
508	4911	4738
509	4921	4728
510	4930	4718
511	4938	4707
512	4944	4694
513	4950	4681
514	4957	4668
515	4966	4658
516	4976	4649
517	4986	4640
518	4995	4629
519	5003	4618
520	5013	4609
521	5023	4599
522	5029	4587
523	5040	4578
524	5048	4567
525	5057	4557
526	5064	4545
527	5073	4535
528	5085	4527
529	5091	4515
530	5100	4505
531	5111	4496
532	5120	4486
533	5128	4475
534	5137	4465
535	5144	4453
536	5154	4444
537	5163	4434
538	5172	4423
539	5182	4414
540	5189	4403
541	5197	4392
542	5206	4381
543	5220	4375
544	5231	4367
545	5242	4358
546	5254	4351
547	5267	4344
548	5276	4334
549	5286	4324
550	5293	4313
551	5301	4302
552	5311	4293
553	5320	4283
554	5331	4274
555	5338	4262
556	5349	4254
557	5355	4242
558	5366	4233
559	5372	4221
560	5382	4212
561	5389	4200
562	5397	4189
563	5406	4179
564	5415	4169
565	5422	4157
566	5431	4147
567	5437	4135
568	5447	4126
569	5453	4114
570	5463	4105
571	5470	4092
572	5481	4084
573	5489	4073
574	5497	4063
575	5505	4052
576	5514	4042
577	5522	4032
578	5531	4022
579	5538	4010
580	5547	4000
581	5555	3989
582	5566	3981
583	5575	3971
584	5582	3960
585	5593	3952
586	5603	3942
587	5613	3932
588	5624	3924
589	5633	3914
590	5643	3905
591	5649	3893
592	5658	3883
593	5665	3872
594	5675	3862
595	5680	3850
596	5690	3841
597	5699	3831
598	5707	3820
599	5716	3810
600	5724	3800
601	5732	3789
602	5741	3780
603	5750	3770
604	5756	3758
605	5765	3748
606	5774	3738
607	5782	3727
608	5790	3717
609	5798	3707
610	5808	3697
611	5819	3689
612	5826	3678
613	5838	3670
614	5844	3658
615	5855	3650
616	5863	3639
617	5872	3629
618	5881	3620
619	5888	3609
620	5896	3598
621	5906	3589
622	5916	3580
623	5922	3568
624	5932	3559
625	5939	3548
626	5949	3539
627	5956	3528
628	5967	3520
629	5973	3508
630	5985	3500
631	5991	3488
632	6001	3479
633	6010	3469
634	6018	3459
635	6024	3447
636	6033	3438
637	6039	3427
638	6049	3417
639	6055	3406
640	6067	3398
641	6074	3387
642	6083	3377
643	6089	3366
644	6098	3356
645	6108	3347
646	6114	3336
647	6120	3324
648	6128	3314
649	6135	3303
650	6144	3293
651	6152	3283
652	6160	3273
653	6168	3263
654	6179	3254
655	6185	3243
656	6198	3235
657	6204	3224
658	6215	3215
659	6224	3206
660	6232	3196
661	6238	3185
662	6248	3175
663	6255	3165
664	6265	3156
665	6275	3147
666	6282	3136
667	6290	3126
668	6299	3116
669	6308	3107
670	6314	3096
671	6322	3085
672	6331	3076
673	6338	3065
674	6346	3055
675	6354	3045
676	6363	3036
677	6371	3026
678	6380	3016
679	6389	3006
680	6398	2997
681	6407	2987
682	6413	2976
683	6420	2966
684	6428	2956
685	6437	2946
686	6446	2936
687	6454	2926
688	6462	2916
689	6474	2908
690	6481	2898
691	6492	2889
692	6501	2880
693	6507	2869
694	6513	2858
695	6522	2848
696	6528	2838
697	6537	2828
698	6544	2818
699	6554	2809
700	6561	2798
701	6572	2789
702	6579	2779
703	6590	2771
704	6599	2761
705	6605	2750
706	6611	2740
707	6620	2730
708	6626	2719
709	6637	2710
710	6644	2700
711	6652	2690
712	6661	2681
